trial,condition,batch_iterations,batch_wall_clock_seconds,batch_cpu_seconds,wall_clock_seconds_per_verification,cpu_seconds_per_verification,batch_peak_python_tracemalloc_bytes,last_report_status
1,permissive_topology_only,500,0.011255166959017515,0.011239999999999917,2.251033391803503e-05,2.2479999999999832e-05,6162,fail
1,deny_all,500,0.003346291952766478,0.0032129999999999104,6.692583905532956e-06,6.42599999999982e-06,1992,fail
1,proposed_compiled_policy,500,0.005942832911387086,0.005913999999999975,1.1885665822774172e-05,1.182799999999995e-05,2792,pass
2,deny_all,500,0.002817499917000532,0.002815000000000012,5.634999834001064e-06,5.630000000000024e-06,1992,fail
2,proposed_compiled_policy,500,0.005966625059954822,0.005945000000000089,1.1933250119909645e-05,1.1890000000000178e-05,2792,pass
2,permissive_topology_only,500,0.01373679202515632,0.01279499999999989,2.747358405031264e-05,2.558999999999978e-05,6162,fail
3,proposed_compiled_policy,500,0.006214375025592744,0.006142000000000092,1.2428750051185488e-05,1.2284000000000184e-05,2792,pass
3,permissive_topology_only,500,0.020853625028394163,0.01736099999999996,4.1707250056788324e-05,3.472199999999992e-05,6162,fail
3,deny_all,500,0.0029619159176945686,0.002925999999999984,5.9238318353891374e-06,5.851999999999969e-06,1992,fail
4,permissive_topology_only,500,0.011816791025921702,0.011662000000000061,2.3633582051843405e-05,2.332400000000012e-05,6162,fail
4,deny_all,500,0.002844959031790495,0.002841999999999789,5.6899180635809896e-06,5.683999999999578e-06,1992,fail
4,proposed_compiled_policy,500,0.006183207966387272,0.006081999999999921,1.2366415932774544e-05,1.2163999999999842e-05,2792,pass
5,deny_all,500,0.003132499987259507,0.003019000000000105,6.264999974519015e-06,6.03800000000021e-06,1992,fail
5,proposed_compiled_policy,500,0.006568167009390891,0.006332000000000004,1.3136334018781781e-05,1.2664000000000008e-05,2792,pass
5,permissive_topology_only,500,0.011743000010028481,0.011622000000000021,2.3486000020056963e-05,2.3244000000000044e-05,6162,fail
6,proposed_compiled_policy,500,0.006186915910802782,0.00610199999999983,1.2373831821605563e-05,1.220399999999966e-05,2792,pass
6,permissive_topology_only,500,0.014258875045925379,0.013117000000000267,2.851775009185076e-05,2.6234000000000535e-05,6162,fail
6,deny_all,500,0.00304966710973531,0.0030090000000000394,6.09933421947062e-06,6.018000000000079e-06,1992,fail
7,permissive_topology_only,500,0.01193816598970443,0.011732999999999993,2.387633197940886e-05,2.346599999999999e-05,6162,fail
7,deny_all,500,0.0031157080084085464,0.003061999999999898,6.231416016817093e-06,6.123999999999796e-06,1992,fail
7,proposed_compiled_policy,500,0.00636966701131314,0.006232999999999933,1.2739334022626281e-05,1.2465999999999867e-05,2792,pass
8,deny_all,500,0.003101667040027678,0.0030290000000001704,6.203334080055356e-06,6.058000000000341e-06,1992,fail
8,proposed_compiled_policy,500,0.006125000072643161,0.00604400000000016,1.2250000145286321e-05,1.208800000000032e-05,2792,pass
8,permissive_topology_only,500,0.011891333037056029,0.011789999999999967,2.3782666074112058e-05,2.3579999999999933e-05,6162,fail
9,proposed_compiled_policy,500,0.006151166977360845,0.006056999999999757,1.230233395472169e-05,1.2113999999999513e-05,2792,pass
9,permissive_topology_only,500,0.011447125114500523,0.011388999999999871,2.2894250229001044e-05,2.2777999999999744e-05,6162,fail
9,deny_all,500,0.002831583027727902,0.0028290000000001925,5.663166055455804e-06,5.658000000000385e-06,1992,fail
10,permissive_topology_only,500,0.01167558308225125,0.011568000000000023,2.33511661645025e-05,2.3136000000000044e-05,6162,fail
10,deny_all,500,0.002825916977599263,0.0028239999999999377,5.651833955198526e-06,5.6479999999998755e-06,1992,fail
10,proposed_compiled_policy,500,0.0067295830231159925,0.00648599999999977,1.3459166046231985e-05,1.297199999999954e-05,2792,pass
11,deny_all,500,0.002921333070844412,0.0028999999999999027,5.842666141688824e-06,5.7999999999998056e-06,1992,fail
11,proposed_compiled_policy,500,0.006082291016355157,0.006013999999999964,1.2164582032710315e-05,1.2027999999999928e-05,2792,pass
11,permissive_topology_only,500,0.012919291038997471,0.012564999999999937,2.5838582077994944e-05,2.5129999999999876e-05,6162,fail
12,proposed_compiled_policy,500,0.006370041985064745,0.00625399999999976,1.274008397012949e-05,1.250799999999952e-05,2792,pass
12,permissive_topology_only,500,0.011940874974243343,0.011794000000000082,2.3881749948486687e-05,2.3588000000000164e-05,6162,fail
12,deny_all,500,0.00305404094979167,0.002974999999999728,6.108081899583339e-06,5.949999999999456e-06,1992,fail
13,permissive_topology_only,500,0.012251334032043815,0.012027999999999928,2.450266806408763e-05,2.4055999999999856e-05,6162,fail
13,deny_all,500,0.003082707989960909,0.0029880000000002127,6.165415979921817e-06,5.976000000000425e-06,1992,fail
13,proposed_compiled_policy,500,0.0063776669558137655,0.006300999999999668,1.275533391162753e-05,1.2601999999999337e-05,2792,pass
14,deny_all,500,0.0033653329592198133,0.003274000000000221,6.730665918439627e-06,6.548000000000442e-06,1992,fail
14,proposed_compiled_policy,500,0.006221040966920555,0.006158000000000108,1.2442081933841109e-05,1.2316000000000215e-05,2792,pass
14,permissive_topology_only,500,0.012411999981850386,0.012039000000000133,2.482399996370077e-05,2.4078000000000267e-05,6162,fail
15,proposed_compiled_policy,500,0.0061764169950038195,0.006073999999999913,1.2352833990007638e-05,1.2147999999999825e-05,2792,pass
15,permissive_topology_only,500,0.011945499922148883,0.011756999999999795,2.3890999844297765e-05,2.3513999999999592e-05,6162,fail
15,deny_all,500,0.003406125004403293,0.003270999999999802,6.812250008806586e-06,6.541999999999604e-06,1992,fail
16,permissive_topology_only,500,0.01200637489091605,0.011807999999999819,2.40127497818321e-05,2.3615999999999636e-05,6162,fail
16,deny_all,500,0.003117250045761466,0.0030489999999998574,6.234500091522932e-06,6.0979999999997144e-06,1992,fail
16,proposed_compiled_policy,500,0.006012625060975552,0.005982000000000376,1.2025250121951102e-05,1.1964000000000751e-05,2792,pass
17,deny_all,500,0.0031788749620318413,0.0030849999999995603,6.357749924063683e-06,6.169999999999121e-06,1992,fail
17,proposed_compiled_policy,500,0.006067250040359795,0.005994000000000277,1.213450008071959e-05,1.1988000000000553e-05,2792,pass
17,permissive_topology_only,500,0.011698083020746708,0.01161100000000026,2.3396166041493415e-05,2.322200000000052e-05,6162,fail
18,proposed_compiled_policy,500,0.006157165975309908,0.0061309999999998865,1.2314331950619816e-05,1.2261999999999774e-05,2792,pass
18,permissive_topology_only,500,0.011519874911755323,0.01144600000000029,2.3039749823510645e-05,2.289200000000058e-05,6162,fail
