trial,status,summed_stage_wall_clock_seconds,summed_stage_cpu_seconds,end_to_end_wall_clock_seconds,end_to_end_cpu_seconds,peak_python_tracemalloc_bytes_max,generated_rule_count,graph_node_count,graph_edge_count,validation_time.wall_clock_seconds,validation_time.cpu_seconds,validation_time.peak_python_tracemalloc_bytes,compile_time.wall_clock_seconds,compile_time.cpu_seconds,compile_time.peak_python_tracemalloc_bytes,graph_construction_time.wall_clock_seconds,graph_construction_time.cpu_seconds,graph_construction_time.peak_python_tracemalloc_bytes,query_loading_time.wall_clock_seconds,query_loading_time.cpu_seconds,query_loading_time.peak_python_tracemalloc_bytes,verification_time.wall_clock_seconds,verification_time.cpu_seconds,verification_time.peak_python_tracemalloc_bytes,report_generation_time.wall_clock_seconds,report_generation_time.cpu_seconds,report_generation_time.peak_python_tracemalloc_bytes
1,pass,0.02862941601779312,0.028140000000000054,0.1616690829396248,0.15958299999999992,82853,10,8,5,0.009749624994583428,0.009687000000000001,21741,0.012807458057068288,0.01256999999999997,29963,0.004243082948960364,0.004161999999999999,82853,0.0007549579022452235,0.0007530000000000037,27812,3.970903344452381e-05,3.900000000012227e-05,1936,0.0010345830814912915,0.0009289999999999576,24666
2,pass,0.02848137402907014,0.027483000000000146,0.16525570792146027,0.160393,82853,10,8,5,0.009214624995365739,0.009175000000000155,21553,0.012451292015612125,0.012283999999999962,30072,0.004777291091158986,0.004291000000000045,82853,0.0008804999524727464,0.0008690000000000087,27812,4.4375075958669186e-05,4.300000000001525e-05,1936,0.001113290898501873,0.0008209999999999607,24666
3,pass,0.030381166958250105,0.029163000000000494,0.17043695808388293,0.164396,82853,10,8,5,0.010686040972359478,0.010447000000000095,26021,0.01274891709908843,0.012597000000000191,29978,0.005286665982566774,0.004491000000000023,82853,0.0007822089828550816,0.0007790000000000852,27812,6.562494672834873e-05,6.4000000000064e-05,1936,0.0008117089746519923,0.0007850000000000357,24666
4,pass,0.02742116805166006,0.02689599999999981,0.1601070410106331,0.1582110000000001,82853,10,8,5,0.009967584046535194,0.00962300000000016,23104,0.012141459039412439,0.011995999999999896,33200,0.0037068750243633986,0.0037039999999999296,82853,0.0008647909853607416,0.0008349999999999191,27753,4.2041996493935585e-05,4.099999999995774e-05,1936,0.0006984169594943523,0.0006969999999999477,24666
5,pass,0.028172999038361013,0.027748000000000106,0.16095475002657622,0.1590180000000001,82853,10,8,5,0.009732707985676825,0.009649000000000019,22070,0.012386374990455806,0.012182000000000137,30051,0.0046167910331860185,0.004483000000000015,82853,0.0007460829801857471,0.0007449999999999957,27812,3.825000021606684e-05,3.6999999999842714e-05,1936,0.0006527920486405492,0.000652000000000097,24666
6,pass,0.027676291880197823,0.027351000000000125,0.1583052920177579,0.1566050000000001,82853,10,8,5,0.00985104194842279,0.009710000000000107,21506,0.01250137493479997,0.01233200000000001,30098,0.003878750023432076,0.0038679999999999826,82853,0.0007867919048294425,0.0007850000000000357,27812,3.925000783056021e-05,3.799999999998249e-05,1936,0.0006190830608829856,0.0006180000000000074,24666
7,pass,0.0287301269127056,0.028223000000000775,0.16018350003287196,0.15832900000000016,82853,10,8,5,0.010021958965808153,0.009817000000000187,21506,0.012312499922700226,0.012167999999999957,30051,0.004737959010526538,0.004611000000000143,82853,0.0007882500067353249,0.0007860000000001754,27812,3.941706381738186e-05,3.900000000012227e-05,1936,0.0008300419431179762,0.0008020000000001914,24666
8,pass,0.028003333020024,0.02759199999999984,0.16071245807688683,0.1580490000000001,82853,10,8,5,0.009951249929144979,0.009830000000000005,21412,0.012439624988473952,0.012195999999999874,30180,0.003927667043171823,0.003922999999999899,82853,0.0007493749726563692,0.0007470000000000532,27812,5.195802077651024e-05,5.100000000002325e-05,1936,0.0008834580658003688,0.0008449999999999847,24666
9,pass,0.029815792106091976,0.029185999999999712,0.16910449997521937,0.16366900000000006,82853,10,8,5,0.010030125034973025,0.009770999999999752,21459,0.012535999994724989,0.012324000000000002,30286,0.00541037495713681,0.0052640000000003795,82853,0.0010530840372666717,0.0010439999999998228,27812,4.7457986511290073e-05,4.599999999976845e-05,1936,0.0007387500954791903,0.0007369999999999877,24666
10,pass,0.029176956857554615,0.02846599999999988,0.1665129999164492,0.16247100000000003,82853,10,8,5,0.01041379093658179,0.0100579999999999,21412,0.012453333009034395,0.012197999999999709,30380,0.004267041920684278,0.004218000000000277,82853,0.0012948330258950591,0.0012479999999999158,27812,4.045793320983648e-05,3.900000000012227e-05,1936,0.0007075000321492553,0.0007049999999999557,24666
11,pass,0.02708966506179422,0.026944000000000745,0.16036320803686976,0.1585040000000002,82853,10,8,5,0.010162458056584,0.010063000000000155,21647,0.011511374963447452,0.011477000000000182,30333,0.003829416004009545,0.0038240000000002716,82853,0.000829958007670939,0.0008270000000001332,27812,4.895799793303013e-05,4.8000000000048004e-05,1936,0.0007075000321492553,0.0007049999999999557,24666
12,pass,0.030459331930615008,0.02928299999999906,0.1688672909513116,0.16385899999999998,82853,10,8,5,0.010134915937669575,0.010008999999999713,21741,0.014104540925472975,0.013201000000000018,30380,0.004293917096219957,0.004221999999999948,82853,0.0007939159404486418,0.0007929999999998216,27812,3.787502646446228e-05,3.6999999999842714e-05,1936,0.001094167004339397,0.0010209999999997166,24666
13,pass,0.027556332875974476,0.027217999999999964,0.16337570804171264,0.16095299999999968,82853,10,8,5,0.010027667041867971,0.009907999999999806,21506,0.011860124999657273,0.011700999999999961,30004,0.0038683749735355377,0.0038610000000001143,82853,0.0009081659372895956,0.0008880000000002219,27812,5.808298010379076e-05,5.499999999969418e-05,1936,0.0008339169435203075,0.0008050000000001667,24666
14,pass,0.02911649993620813,0.027827999999999964,0.16387425002176315,0.160412,82853,10,8,5,0.009905416052788496,0.009754999999999736,21882,0.013363084057345986,0.01229199999999997,30098,0.004038499901071191,0.004035000000000011,82853,0.0008750000270083547,0.0008720000000002059,27812,4.6874978579580784e-05,4.500000000007276e-05,1936,0.0008876249194145203,0.0008289999999999687,24666
15,pass,0.03209045890253037,0.03079200000000082,0.20632333296816796,0.1755819999999999,82853,10,8,5,0.009711458929814398,0.009581000000000284,21506,0.014226999948732555,0.013704999999999856,30004,0.006104124942794442,0.005628000000000188,82853,0.0008376659825444221,0.0008349999999999191,27812,9.750004392117262e-05,8.400000000019503e-05,1936,0.001112709054723382,0.0009590000000003762,24666
16,pass,0.03663724893704057,0.03208099999999936,0.1756206250283867,0.16752100000000025,82853,10,8,5,0.011377542046830058,0.010931999999999942,21647,0.020078415982425213,0.015976999999999908,30192,0.003748041926883161,0.0037449999999998873,82853,0.0007331660017371178,0.0007310000000000372,27812,4.183303099125624e-05,3.999999999981796e-05,1936,0.0006582499481737614,0.0006559999999997679,24666
17,pass,0.027268750127404928,0.02699399999999974,0.16182841698173434,0.1589480000000001,82853,10,8,5,0.009429124998860061,0.009384000000000281,25307,0.01217504101805389,0.01206700000000005,30944,0.004242541966959834,0.004125999999999852,82853,0.0007450830889865756,0.0007429999999999382,27812,3.925000783056021e-05,3.799999999998249e-05,1936,0.0006377090467140079,0.0006359999999996369,24666
18,pass,0.0281676659360528,0.027870999999999757,0.16151299991179258,0.15956700000000001,82853,10,8,5,0.00977537501603365,0.009714999999999918,23386,0.012518040952272713,0.012348999999999943,31837,0.004396916949190199,0.00433400000000006,82853,0.0007436670130118728,0.0007419999999997984,27812,3.916595596820116e-05,3.799999999998249e-05,1936,0.0006945000495761633,0.0006930000000000547,24666
19,pass,0.032851542928256094,0.03032900000000005,0.17039508395828307,0.1637069999999996,82853,10,8,5,0.010006791912019253,0.009862000000000037,21553,0.017608124995604157,0.015244000000000035,31931,0.0037298339884728193,0.0037269999999995918,82853,0.0007854170398786664,0.0007760000000001099,27812,3.954197745770216e-05,3.900000000012227e-05,1936,0.0006818330148234963,0.0006810000000001537,24666
20,pass,0.03142624895554036,0.029639000000000415,0.195178083027713,0.17499100000000034,82853,10,8,5,0.009837082936428487,0.00975500000000018,21882,0.015413291985169053,0.01393100000000036,32060,0.004176083020865917,0.004022000000000858,82853,0.0009162080241367221,0.0008989999999995391,27812,4.425004590302706e-05,4.2999999999793204e-05,1936,0.0010393329430371523,0.0009889999999996846,24666
21,pass,0.031213376088999212,0.029806000000000665,0.16746262495871633,0.1634670000000007,82853,10,8,5,0.012890957994386554,0.01190200000000008,21353,0.01255620806477964,0.012251000000000012,30427,0.004216125002130866,0.004107000000000305,82853,0.00078504194971174,0.0007830000000002002,27812,4.2584026232361794e-05,4.2000000000541604e-05,1936,0.0007224590517580509,0.0007209999999995276,24666
22,pass,0.02785416692495346,0.0275029999999985,0.18972970894537866,0.1632990000000003,82853,10,8,5,0.010065417038276792,0.009911999999999921,21976,0.012099749990738928,0.012011000000000216,30239,0.004213707987219095,0.004108999999999696,82853,0.0007905419915914536,0.0007889999999992625,27812,3.825000021606684e-05,3.6999999999842714e-05,1936,0.0006464999169111252,0.0006449999999995626,24666
23,pass,0.027879000874236226,0.027202000000000837,0.15988441708032042,0.1579550000000003,82853,10,8,5,0.010097082937136292,0.009577000000000169,21553,0.012239041971042752,0.012127000000000443,30086,0.003957499982789159,0.0039319999999998245,82853,0.0008972500218078494,0.0008799999999995478,27812,4.03339508920908e-05,3.900000000012227e-05,1936,0.0006477920105680823,0.0006470000000007303,24666
24,pass,0.027322834124788642,0.02695800000000048,0.16611216706223786,0.16264900000000004,82853,10,8,5,0.00981012498959899,0.009662999999999755,21882,0.011799875064752996,0.011643999999999544,30192,0.004103834042325616,0.004059000000000701,82853,0.00090487499255687,0.0008910000000001972,27812,4.041707143187523e-05,3.900000000012227e-05,1936,0.0006637079641222954,0.0006620000000001625,24666
25,pass,0.029437831952236593,0.02888699999999922,0.1737230409635231,0.16767500000000002,82853,10,8,5,0.010685040964744985,0.01051000000000002,25410,0.012998415972106159,0.012715000000000032,30286,0.004200582974590361,0.004113999999999507,82853,0.0008290000259876251,0.0008259999999999934,27812,5.579204298555851e-05,5.499999999969418e-05,1936,0.0006689999718219042,0.0006669999999999732,24666
26,pass,0.028613541857339442,0.028021999999999103,0.17216187505982816,0.16632300000000022,82853,10,8,5,0.010425542015582323,0.010116999999999265,21647,0.012517208000645041,0.012317000000000355,30145,0.003885958925820887,0.0038609999999996703,82853,0.0008368749404326081,0.0008179999999997634,27812,4.1499966755509377e-05,4.000000000026205e-05,1936,0.0009064580081030726,0.0008689999999997866,24666
27,pass,0.03915616578888148,0.03361500000000106,0.23116854100953788,0.18876999999999988,82794,10,8,5,0.010960582992993295,0.010697999999999652,26065,0.016584582976065576,0.014965000000000117,31649,0.006188332918100059,0.0058960000000007895,82794,0.0008082080166786909,0.000804000000000471,27812,4.4166925363242626e-05,4.2999999999793204e-05,1936,0.004570291959680617,0.0012090000000002377,24666
28,pass,0.03813787701074034,0.03529600000000066,0.21995937498286366,0.184342,82853,10,8,5,0.01653291704133153,0.014397999999999911,22446,0.01548520801588893,0.014984000000000108,30333,0.004334083991125226,0.004290000000000127,82853,0.0008027090225368738,0.000796000000000241,27812,4.199997056275606e-05,4.1000000000401826e-05,1936,0.0009409589692950249,0.0007869999999998711,24666
29,pass,0.028182749054394662,0.02785100000000007,0.1589997080154717,0.1574770000000001,82853,10,8,5,0.010082124965265393,0.009983000000000075,21412,0.012069500051438808,0.011937999999999782,30086,0.004302999936044216,0.004227999999999454,82853,0.0007927910191938281,0.0007910000000004302,27812,5.6750024668872356e-05,5.500000000058236e-05,1936,0.0008785830577835441,0.0008559999999997459,24666
30,pass,0.027496751165017486,0.02735299999999974,0.1595045829890296,0.15824999999999978,82853,10,8,5,0.009434209088794887,0.00942199999999982,28133,0.012422750005498528,0.012316999999999467,30227,0.00409208401106298,0.004072000000000742,82853,0.0007581249810755253,0.0007559999999999789,27812,5.404104012995958e-05,5.200000000016303e-05,1936,0.0007355420384556055,0.0007339999999995683,24666
